Definição Synset,ID Synset,Definição Relacionada,ID Relacionada,Relação
an enlarged and muscular saclike organ of the alimentary canal; the principal organ of digestion,stomach.n.01,the third compartment of the stomach of a ruminant,psalterium.n.01,Hyponyms
an enlarged and muscular saclike organ of the alimentary canal; the principal organ of digestion,stomach.n.01,the second compartment of the stomach of a ruminant,reticulum.n.03,Hyponyms
an enlarged and muscular saclike organ of the alimentary canal; the principal organ of digestion,stomach.n.01,the first compartment of the stomach of a ruminant; here food is collected and returned to the mouth as cud for chewing,rumen.n.01,Hyponyms
a genus of bacteria,bacteria_genus.n.01,(biology) taxonomic group containing one or more species,genus.n.02,Hypernyms
a genus of bacteria,bacteria_genus.n.01,aerobic bacteria widely distributed in nature,aerobacter.n.01,Hyponyms
a genus of bacteria,bacteria_genus.n.01,small motile bacterial rods that can reduce nitrates and cause galls on plant stems,agrobacterium.n.01,Hyponyms
a genus of bacteria,bacteria_genus.n.01,type genus of Bacteroidaceae; genus of Gram-negative rodlike anaerobic bacteria producing no endospores and no pigment and living in the gut of man and animals,bacteroides.n.01,Hyponyms
a genus of bacteria,bacteria_genus.n.01,type genus of the family Actinomycetaceae,genus_actinomyces.n.01,Hyponyms
a genus of bacteria,bacteria_genus.n.01,type genus of the Bacillaceae; includes many saprophytes important in decay of organic matter and a number of parasites,genus_bacillus.n.01,Hyponyms
a genus of bacteria,bacteria_genus.n.01,small flexible parasitic spirochetes having three to five wavy spirals,genus_borrelia.n.01,Hyponyms
a genus of bacteria,bacteria_genus.n.01,type genus of the family Chlamydiaceae: disease-causing parasites,genus_chlamydia.n.01,Hyponyms
a genus of bacteria,bacteria_genus.n.01,"anaerobic or micro-aerophilic rod-shaped or spindle-shaped saprophytes; nearly cosmopolitan in soil, animal intestines, and dung",genus_clostridium.n.01,Hyponyms
a genus of bacteria,bacteria_genus.n.01,the type genus of the family Corynebacteriaceae which is widely distributed in nature; the best known are parasites and pathogens of humans and domestic animals,genus_corynebacterium.n.01,Hyponyms
a genus of bacteria,bacteria_genus.n.01,a genus of bacteria,genus_diplococcus.n.01,Hyponyms
a genus of bacteria,bacteria_genus.n.01,a genus of bacteria,genus_erwinia.n.01,Hyponyms
a genus of bacteria,bacteria_genus.n.01,a genus of bacteria,genus_escherichia.n.01,Hyponyms
a genus of bacteria,bacteria_genus.n.01,a genus of bacteria,genus_klebsiella.n.01,Hyponyms
a genus of bacteria,bacteria_genus.n.01,type genus of the family Lactobacillaceae,genus_lactobacillus.n.01,Hyponyms
a genus of bacteria,bacteria_genus.n.01,very slender aerobic spirochetes; free-living or parasitic in mammals,genus_leptospira.n.01,Hyponyms
a genus of bacteria,bacteria_genus.n.01,a genus of aerobic motile bacteria of the family Corynebacteriaceae containing small Gram-positive rods,genus_listeria.n.01,Hyponyms
a genus of bacteria,bacteria_genus.n.01,nonmotile Gram-positive aerobic bacteria,genus_mycobacterium.n.01,Hyponyms
a genus of bacteria,bacteria_genus.n.01,type and sole genus of the family Mycoplasmataceae,genus_mycoplasma.n.01,Hyponyms
a genus of bacteria,bacteria_genus.n.01,type genus of the family Nostocaceae: freshwater blue-green algae,genus_nostoc.n.01,Hyponyms
a genus of bacteria,bacteria_genus.n.01,can cause typhus and Rocky Mountain spotted fever in humans,genus_rickettsia.n.01,Hyponyms
a genus of bacteria,bacteria_genus.n.01,a genus of bacteria,genus_salmonella.n.01,Hyponyms
a genus of bacteria,bacteria_genus.n.01,a genus of motile peritrichous bacteria that contain small Gram-negative rod,genus_serratia.n.01,Hyponyms
a genus of bacteria,bacteria_genus.n.01,a genus of bacteria,genus_shigella.n.01,Hyponyms
a genus of bacteria,bacteria_genus.n.01,a genus of bacteria,genus_spirillum.n.01,Hyponyms
a genus of bacteria,bacteria_genus.n.01,includes many pathogenic species,genus_staphylococcus.n.01,Hyponyms
a genus of bacteria,bacteria_genus.n.01,a genus of bacteria,genus_streptococcus.n.01,Hyponyms
a genus of bacteria,bacteria_genus.n.01,type genus of the family Streptomycetaceae,genus_streptomyces.n.01,Hyponyms
a genus of bacteria,bacteria_genus.n.01,a genus of bacteria,genus_thiobacillus.n.01,Hyponyms
a genus of bacteria,bacteria_genus.n.01,type genus of Treponemataceae: anaerobic spirochetes with an undulating rigid body; parasitic in warm-blooded animals,genus_treponema.n.01,Hyponyms
a genus of bacteria,bacteria_genus.n.01,a genus of blue-green algae,genus_trichodesmium.n.01,Hyponyms
a genus of bacteria,bacteria_genus.n.01,a genus of bacteria,genus_vibrio.n.01,Hyponyms
a genus of bacteria,bacteria_genus.n.01,a genus of helical or curved or straight aerobic bacteria with rounded ends and multiple flagella; found in the gastric mucosa of primates (including humans),heliobacter.n.01,Hyponyms
a genus of bacteria,bacteria_genus.n.01,type genus of the family Micrococcaceae,micrococcus.n.01,Hyponyms
a genus of bacteria,bacteria_genus.n.01,rod-shaped soil bacteria,nitrobacter.n.01,Hyponyms
a genus of bacteria,bacteria_genus.n.01,usually rod-shaped bacteria that oxidize ammonia or nitrites: nitrobacteria,nitrobacteriaceae.n.01,Hyponyms
a genus of bacteria,bacteria_genus.n.01,ellipsoidal soil bacteria,nitrosomonas.n.01,Hyponyms
a genus of bacteria,bacteria_genus.n.01,type genus of the family Polyangiaceae: myxobacteria with rounded fruiting bodies enclosed in a membrane,polyangium.n.01,Hyponyms
a genus of bacteria,bacteria_genus.n.01,type genus of the family Pseudomonodaceae,pseudomonas.n.01,Hyponyms
a genus of bacteria,bacteria_genus.n.01,the type genus of Rhizobiaceae; usually occur in the root nodules of legumes; can fix atmospheric oxygen,rhizobium.n.01,Hyponyms
a genus of bacteria,bacteria_genus.n.01,"the type genus of the family Spirochaetaceae; a bacterium that is flexible, undulating, and chiefly aquatic",spirochaeta.n.01,Hyponyms
a genus of bacteria,bacteria_genus.n.01,a genus of bacteria similar to Pseudomonas but producing a yellow pigment that is not soluble in water,xanthomonas.n.01,Hyponyms
the act of putting two things together with no space between them,touch.n.05,something that people do or cause to happen,act.n.02,Hypernyms
the act of putting two things together with no space between them,touch.n.05,the act of catching an object with the hands,catch.n.09,Hyponyms
the act of putting two things together with no space between them,touch.n.05,the act of touching physically,contact.n.02,Hyponyms
the act of putting two things together with no space between them,touch.n.05,the act of touching someone suddenly with your finger or elbow,dig.n.05,Hyponyms
the act of putting two things together with no space between them,touch.n.05,touching something with the fingers,fingering.n.02,Hyponyms
the act of putting two things together with no space between them,touch.n.05,the act of brushing against while passing,grazing.n.02,Hyponyms
the act of putting two things together with no space between them,touch.n.05,the act of groping; and instance of groping,grope.n.01,Hyponyms
the act of putting two things together with no space between them,touch.n.05,the action of touching with the hands (or the skillful use of the hands) or by the use of mechanical means,handling.n.02,Hyponyms
the act of putting two things together with no space between them,touch.n.05,the act of contacting one thing with another,hit.n.02,Hyponyms
the act of putting two things together with no space between them,touch.n.05,the act of caressing with the lips (or an instance thereof),kiss.n.01,Hyponyms
the act of putting two things together with no space between them,touch.n.05,a light glancing touch,kiss.n.04,Hyponyms
the act of putting two things together with no space between them,touch.n.05,touching with the tongue,lick.n.02,Hyponyms
the act of putting two things together with no space between them,touch.n.05,a method of examination in which the examiner feels the size or shape or firmness or location of something (of body parts when the examiner is a health professional),palpation.n.01,Hyponyms
